Date,Weekly_Sales,IsHoliday
2010-02-05,293966.05,False
2010-02-12,151901.21,True
2010-02-19,192282.19,False
2010-02-26,205250.96,False
2010-03-05,214383.07,False
2010-03-12,197070.21,False
2010-03-19,178028.58,False
2010-03-26,167512.67,False
2010-04-02,203457.42,False
2010-04-09,180584.36,False
2010-04-16,175843.63,False
2010-04-23,183147.38,False
2010-04-30,177014.37,False
2010-05-07,206160.36,False
2010-05-14,177116.48,False
2010-05-21,183182.96,False
2010-05-28,187738.85,False
2010-06-04,190128.43,False
2010-06-11,194723.71,False
2010-06-18,188045.88,False
2010-06-25,175840.55,False
2010-07-02,198349.17,False
2010-07-09,191981.99,False
2010-07-16,177803.19,False
2010-07-23,168341.28,False
2010-07-30,168187.32,False
2010-08-06,204695.13,False
2010-08-13,181729.63,False
2010-08-20,180468.24,False
2010-08-27,175412.46,False
2010-09-03,198704.92,False
2010-09-10,205314.67,True
2010-09-17,179946.34,False
2010-09-24,170830.69,False
2010-10-01,174219.51,False
2010-10-08,210596.66,False
2010-10-15,182166.26,False
2010-10-22,180585.77,False
2010-10-29,176155.17,False
2010-11-05,206935.29,False
2010-11-12,200451.31,False
2010-11-19,197465.6,False
2010-11-26,221034.84,True
2010-12-03,177803.87,False
2010-12-10,221013.44,False
2010-12-17,206518.11,False
2010-12-24,244628.76,False
2010-12-31,147464.09,True
2011-01-07,198789.07,False
2011-01-14,177641.33,False
2011-01-21,173771.66,False
2011-01-28,161663.64,False
2011-02-04,207824.62,False
2011-02-11,189115.49,True
2011-02-18,174863.7,False
2011-02-25,180354.83,False
2011-03-04,200367.18,False
2011-03-11,191167.3,False
2011-03-18,178875.27,False
2011-03-25,172111.54,False
2011-04-01,175473.67,False
2011-04-08,206017.23,False
2011-04-15,175531.22,False
2011-04-22,191840.95,False
2011-04-29,144127.68,False
2011-05-06,196628.33,False
2011-05-13,165095.96,False
2011-05-20,180525.39,False
2011-05-27,171545.23,False
2011-06-03,162995.08,False
2011-06-10,190737.26,False
2011-06-17,174197.72,False
2011-06-24,166873.16,False
2011-07-01,175468.71,False
2011-07-08,188688.12,False
2011-07-15,168959.37,False
2011-07-22,154140.9,False
2011-07-29,158816.24,False
2011-08-05,197416.29,False
2011-08-12,174877.08,False
2011-08-19,170690.98,False
2011-08-26,241120.0,False
2011-09-02,149419.91,False
2011-09-09,214448.96,True
2011-09-16,177437.5,False
2011-09-23,178288.71,False
2011-09-30,172057.5,False
2011-10-07,221834.28,False
2011-10-14,187911.15,False
2011-10-21,181127.71,False
2011-10-28,183447.07,False
2011-11-04,208504.83,False
2011-11-11,206465.15,False
2011-11-18,192681.31,False
2011-11-25,218755.14,True
2011-12-02,172338.47,False
2011-12-09,227088.13,False
2011-12-16,209598.85,False
2011-12-23,240895.28,False
2011-12-30,148956.43,True
2012-01-06,206871.52,False
2012-01-13,178049.34,False
2012-01-20,185683.25,False
2012-01-27,163197.25,False
2012-02-03,198551.21,False
2012-02-10,213557.23,True
2012-02-17,185744.71,False
2012-02-24,184077.26,False
2012-03-02,190545.48,False
2012-03-09,213636.03,False
2012-03-16,179178.58,False
2012-03-23,164732.41,False
2012-03-30,171498.91,False
2012-04-06,224917.94,False
2012-04-13,164790.03,False
2012-04-20,168230.13,False
2012-04-27,169755.19,False
2012-05-04,200789.85,False
2012-05-11,194034.68,False
2012-05-18,163028.98,False
2012-05-25,180251.98,False
2012-06-01,165598.92,False
2012-06-08,206575.9,False
2012-06-15,160550.27,False
2012-06-22,134236.16,False
2012-06-29,135790.38,False
2012-07-06,166956.91,False
2012-07-13,137087.77,False
2012-07-20,141112.33,False
2012-07-27,129580.31,False
2012-08-03,156774.74,False
2012-08-10,163284.81,False
2012-08-17,149472.75,False
2012-08-24,145009.72,False
2012-08-31,138589.09,False
2012-09-07,190579.72,True
2012-09-14,146630.33,False
2012-09-21,148417.22,False
2012-09-28,139707.8,False
2012-10-05,169519.23,False
2012-10-12,156174.21,False
2012-10-19,152511.55,False
2012-10-26,164464.02,False
